genes
CYP2C19
CYP2D6
CYP3A5
CYSLTR2
DACH1
DAXX
DCAF4L2
DCC
DCLRE1C
DCUN1D1
DDB1
DDB2
DDIT3
DDR1
DDR2
DDX10
DDX31
DDX3X
DDX41
DDX5
DDX6
DEK
DEPDC5
DGCR8
DGKH
DHX15
DICER1
DIS3
DIS3L2
DKC1
DMC1
DMD
DNA2
DNAH11
DNAH2
DNAH5
DNAH9
DNAJB1
DNM2
DNMT1
DNMT3A
DNMT3B
DOCK8
DOT1L
DPYD
DROSHA
DST
DTWD2
DTX1
DUSP2
DUSP22
DUSP4
DUSP6
DUSP9
DYNC1I1
DYNC2H1
E2F3
EBF1
ECT2L
EDNRB
EED
EFCAB10
EGF
EGFL7
EGFR
EGLN1
EGR1
EGR2
EIF1AX
EIF4A2
EIF4E
EIF5A
ELANE
ELF3
ELF4
ELK4
ELL
ELP2
EME1
EME2
EML4
ENG
EP300
EP400
EPAS1
EPCAM
EPHA2
EPHA3
EPHA5
EPHA6
EPHA7
EPHB1
EPHB2
EPHB4
EPHB6
EPOR
EPS15
ERBB2
ERBB3
ERBB4
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
EREG
ERF
ERG
ERRFI1
ESCO2
ESPL1
ESR1
ESR2
ETAA1
ETNK1
ETS1
ETS2
ETV1
ETV3
ETV4
ETV5
ETV6
EWSR1
EXO1
EXOSC10
EXOSC6
EXT1
EXT2
EZH1
EZH2
EZR
FAF1
FAH
FAM20C
FAN1
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAS
FAT1
FAT3
FBXO11
FBXO31
FBXW7
FCGR2A
FCGR3A
FCRL4
FDPS
FEN1
FEV
FGA
FGF1
FGF10
FGF12
FGF14
FGF19
FGF2
FGF23
FGF3
FGF4
FGF5
FGF6
FGF7
FGF8
FGF9
FGFR1
FGFR2
FGFR3
FGFR4
FH
FHIT
FIP1L1
FKBP9
FLCN
FLI1
FLT1
FLT3
FLT4
FLYWCH1
FN1
FNBP1
FNTB
FOS
FOSB
FOXA1
FOXF1
FOXL2
FOXO1
FOXO3
FOXO4
FOXP1
FOXP4
FOXQ1
FOXR2
FRK
FRMD3
FRS2
FSBP
FSTL3
FUBP1
FURIN
FUS
FYN
FZR1
G6PD
GAB1
GAB2
GABRA6
GALNT12
GAS7
GATA1
GATA2
GATA3
GATA4
GATA6
GDNF
GEN1
GFI1
GFI1B
GH1
GID4
GLDC
GLI1
GLI2
GLI3
GLMN
GMNN
GMPS
GNA11
GNA12
GNA13
GNA14
GNAI2
GNAI3
GNAQ
GNAS
GOLGA5
GOPC
GPC3
GPHN
GPR32
GPS2
GREM1
GRID1
GRIN2A
GRM3
GRM8
GSK3B
GSTM5
GSTP1
GTSE1
GUCY1A2
HABP2
HAS3
HAVCR2
HCAR1
HDAC1
HDAC2
HDAC4
HDAC7
HDAC9
HELQ
HERC2
HEY1
HFE
HGF
HIF1A
HLA-A
HLA-B
HLA-C
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DOB
HLA-DPA1
HLA-DQA1
HLA-DQB2
HLA-DRA
HLA-DRB1
HLA-DRB5
HLA-E
HLA-F
HLA-G
HLF
HMBS
HMGA2
HNF1A
HNF1B
HNRNPK
HOOK3
HOXA11
HOXA13
HOXA3
HOXA9
HOXB13
HOXC11
HOXC13
HOXD11
HOXD13
HRAS
HRG
HSD11B2
HSD3B1
HSD3B2
HSP90AA1
HSP90AB1
HSPA2
HSPA5
HSPH1
HTRA1
ICOSLG
ID2
ID3
ID4
IDH1
IDH2
IDO1
IFIT1
IFIT2
IFIT3
IFNAR1
IFNAR2
IFNGR1
IFNGR2
IFNL3
IGF1
IGF1R
IGF2
IGF2BP3
IGF2R
IGHD3-10
IGHD3-9
IGHJ2
IGHJ3
IGHJ4
IGHJ5
IGHJ6
IGLJ3
IGLJ5
IGLJ6
IGLJ7
IKBKB
IKBKE
IKZF1
IKZF2
IKZF3
IL10
IL10RA
IL15
IL2
IL21R
IL2RA
IL2RB
IL3
IL6R
IL6ST
IL7R
ING1
ING4
INHA
INHBA
INPP4A
INPP4B
INPP5D
INPPL1
INSIG1
INSR
INSRR
IPMK
IRAK4
IRF1
IRF2
IRF4
IRF8
IRS1
IRS2
ITGA10
ITGA9
ITGB2
ITGB3
ITK
ITPKB
JAK1
JAK2
JAK3
JARID2
JAZF1
JMJD1C
JUN
JUNB
KAT6A
KAT6B
KBTBD4
KCNIP1
KCNJ5
KCNQ1
KDM2B
KDM3A
KDM4C
KDM5A
KDM5C
KDM5D
KDM6A
KDM6B
KDR
KDSR
KEAP1
KEL
KIAA1549
KIF1B
KIF5B
KIT
KLF2
KLF4
KLF5
KLF6
KLHL6
KLK2
KLLN
KLRG1
KMT2A
KMT2B
KMT2C
KMT2D
KNSTRN
KRAS
KRIT1
KSR2
KTN1
L1CAM
L2HGDH
LAG3
LAMA2
LAMB3
LAMB4
LAMP1
LARP4B
LATS1
LATS2
LCK
LCP1
LDLR
LDLRAP1
LEF1
LGR5
LIFR
LIG1
LIG4
LIPI
LMNA
LMO1
LMO2
LMO3
LPP
LRIG3
LRP1
LRP1B
LRP6
LRRK2
LTB
LTF
LTK
LYL1
LYN
LZTR1
MAD2L2
MAF
MAFB
MAG
MAGEA1
MAGEA8
MAGED1
MAGI1
MAGI2
MALT1
MAML2
MAML3
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAP3K10
MAP3K13
MAP3K14
MAP3K2
MAP3K4
MAP3K5
MAP3K6
MAP3K7
MAP3K8
MAP3K9
MAPK1
MAPK3
MAPK7
MAPK8
MAPKAP1
MARK1
MARK4
MAST1
MAX
MBD1
MBD4
MBL2
MC1R
MCL1
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MDC1
MDH2
MDM2
MDM4
MDS2
MECOM
MED12
MEF2C
MEN1
MERTK
MET
MGA
MGAM
MGAT4B
MGMT
MIB1
MITF
MKI67
MKNK1
MLF1
MLH1
MLH3
MLLT1
MLLT10
MLLT11
MLLT3
MLLT6
MMP2
MN1
MNX1
MOB3B
MPEG1
MPL
MS4A1
MSH2
MSH3
MSH6
MSI1
MSI2
MSN
MST1
MST1R
MT-ND5
MT-ND6
MTA1
MTAP
MTCP1
MTHFD2
MTHFR
MTOR
MTR
MTRR
MUC1
MUC16
MUS81
MUTYH
MYB
MYBBP1A
MYBL1
MYC
MYCL
MYCN
MYD88
MYH11
MYH9
MYO18A
MYO1A
MYO3A
MYOD1
NAB2
NACA
NADK
NAV3
NBN
NCKAP5
NCKIPSD
NCOA1
NCOA2
NCOA3
NCOA4
NCOR1
NCOR2
NCSTN
NDFIP1
NDRG1
NEGR1
NEIL1
NEIL2
NEIL3
NEK1
NF1
NF2
NFE2
NFE2L2
NFIB
NFKB1
NFKB2
NFKBIA
NFKBIE
NFKBIZ
NIN
NIPBL
NKX2-1
NKX3-1
NLRP1
NOD1
NONO
NOP10
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NPM1
NPNT
NPRL2
NPRL3
NQO1
NR0B1
NR2F1
NR3C1
NR4A3
NRAS
NRG1
NRG3
NRIP1
NSD1
NT5C2
NT5E
NTHL1
NTRK1
NTRK2
NTRK3
NUDT15
NUF2
NUMA1
NUP214
NUP93
NUP98
NUTM1
NXF1
NYNRIN
OGG1
OLIG2
OR5L1
OR6A2
OTX2
P2RY8
PAFAH1B2
PAK1
PAK3
PALB2
PALLD
PARP1
PARP2
PARP3
PASK
PATZ1
PAX3
PAX5
PAX7
PAX8
PAXIP1
PBRM1
PBX1
PC
PCBP1
PCDHAC1
PCDHAC2
PCLO
PCM1
PCNA
PDCD1
PDCD11
PDCD1LG2
PDE4DIP
PDGFB
PDGFRA
PDGFRB
PDK1
PDPK1
PDS5B
PER1
PGAP3
PGBD3
PGBD5
PGR
PHF1
PHF6
PHF8
PHGDH
PHIP
PHLPP1
PHLPP2
PHOX2B
PIAS4
PICALM
PIGA
PIK3C2B
PIK3C2G
PIK3C3
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PIK3R3
PIM1
PKD1L2
PKHD1
PLAG1
PLCB4
PLCG1
PLCG2
PLEKHG5
PLK2
PMAIP1
PML
PMS1
PMS2
PNKP
PNRC1
POLB
POLD1
POLD2
POLD3
POLD4
POLE
POLH
POLQ
POLR2A
POLR3A
POLR3B
POT1
POU2AF1
POU2F2
POU3F2
POU5F1
PPARA
PPARD
PPARG
PPM1D
PPP1R15A
PPP2CB
PPP2R1A
PPP2R2A
PPP4R2
PPP6C
PRAME
PRCC
PRDM1
PRDM14
PRDM16
PRDM6
PREX2
PRF1
PRKACA
PRKACG
PRKAG2
PRKAR1A
PRKCA
PRKCB
PRKCE
PRKCH
PRKCI
PRKCQ
PRKCZ
PRKD1
PRKDC
PRKG1
PRPF40B
PRPF8
PRPS2
PRR16
PRRX1
PRSS1
PRSS8
PSIP1
PSMD13
PTCH1
PTCH2
PTEN
PTGS2
PTK2
PTK2B
PTP4A1
PTPN1
PTPN11
PTPN13
PTPN14
PTPN2
PTPN22
PTPN6
PTPRB
PTPRC
PTPRD
PTPRK
PTPRM
PTPRO
PTPRS
PTPRT
PTTG1
QKI
RAB35
RABEP1
RABL3
RAC1
RAC2
RAD21
RAD50
RAD51
RAD51B
RAD51C
RAD51D
RAD52
RAD54B
RAD54L
RAF1
RALGDS
RANBP17
RANBP2
RAP1GDS1
RARA
RASA1
RASA2
RASGEF1A
RASGEF1B
RB1
RBBP8
RBL2
RBM10
RBM15
RCAN1
RECQL
REL
RELA
RELN
REST
RET
RFC2
RFC3
RHBDF2
RHEB
RHOA
RHOH
RHOT1
RHPN2
RICTOR
RIF1
RINT1
RIPK3
RIT1
RMI2
RNASEL
RNF139
RNF2
RNF213
RNF43
RNF8
RNPC3
ROBO1
ROS1
RPA1
RPA2
RPA3
RPA4
RPGR
RPL10
RPL22
RPL26
RPL5
RPN1
RPS15
RPS19
RPS26
RPS6KA2
RPS6KA4
RPS6KB1
RPS6KB2
RPTOR
RRAGC
RRAS
RRAS2
RRM1
RSF1
RSPO1
RSPO2
RSPO3
RTEL1
RUNX1
RUNX1T1
RXRA
RYBP
RYR2
S1PR2
SAMD9
SAMD9L
SAMHD1
SBDS
SBNO1
SCG5
SDC4
SDCCAG8
SDHA
SDHAF2
SDHB
SDHC
SDHD
SEC23B
SEMA3C
SERP2
SERPINA1
SERPINB3
SERPINB4
SESN1
SESN2
SESN3
SET
SETBP1
SETD1A
SETD1B
SETD2
SETD3
SETD4
SETD5
SETD6
SETD7
SETDB1
SETDB2
SF1
SF3A1
SF3B1
SFPQ
SGCD
SGK1
SH2B3
SH2D1A
SH3GL1
SHANK2
SHH
SHOC2
SHQ1
SIAH1
SIK1
SIK2
SIN3A
SLC25A13
SLC26A3
SLC30A4
SLC34A2
SLC45A3
SLC47A2
SLFN11
SLIT2
SLITRK6
SLX1A
SLX1B
SLX4
SMAD2
SMAD3
SMAD4
SMARCA1
SMARCA2
SMARCA4
SMARCAL1
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCE1
SMC1A
SMC3
SMG1
SMO
SMUG1
SMYD3
SNCAIP
SNX29
SNX31
SOCS1
SOCS2
SOCS3
SOD2
SOS1
SOS2
SOX10
SOX11
SOX17
SOX2
SOX9
SP140
SPACA1
SPECC1
SPEN
SPI1
SPINK1
SPOP
SPRED1
SPRTN
SPRY1
SPRY2
SPRY4
SPTA1
SQSTM1
SRC
SRCAP
SRGAP3
SRP19
SRP72
SRSF2
SRSF3
SRY
SS18
SS18L1
SSBP1
SSX1
SSX2
SSX4
STAB2
STAG1
STAG2
STAG3
STAT3
STAT4
STAT5A
STAT5B
STAT6
STIL
STK11
STK36
STK40
STMN2
SUFU
SUZ12
SYK
SYNE1
SYT1
TADA1
TAF1
TAF15
TAF1L
TAF4B
TAL1
TAL2
TANC1
TAP1
TAP2
TARBP2
TBC1D12
TBL1XR1
TBX22
TBX3
TCEA1
TCF12
TCF3
TCF7L1
TCF7L2
TCL1A
TDG
TEK
TERF2IP
TERT
TET1
TET2
TET3
TEX12
TFE3
TFEB
TFEC
TFG
TFPT
TFRC
TG
TGFB1
TGFBR1
TGFBR2
TGM7
THADA
THBS1
THRAP3
THSD7A
TIGIT
TIMP3
TINF2
TIPARP
TLL2
TLR2
TLR4
TLX1
TLX3
TMED1
TMEM127
TMEM216
TMEM30A
TMPRSS2
TNF
TNFAIP3
TNFRSF11A
TNFRSF14
TNFRSF17
TNFRSF1B
TNFRSF9
TNK2
TNKS2
TOE1
TOP1
TOP2A
TOP3A
TOP3B
TOPBP1
TP53
TP53BP1
TP63
TPM1
TPM3
TPM4
TPMT
TPR
TRAC
TRAF2
TRAF3
TRAF5
TRAF7
TRAJ1
TRAJ10
TRAJ13
TRAJ14
TRAJ16
TRAJ17
TRAJ18
TRAJ20
TRAJ22
TRAJ23
TRAJ24
TRAJ25
TRAJ26
TRAJ28
TRAJ29
TRAJ30
TRAJ31
TRAJ32
TRAJ33
TRAJ35
TRAJ38
TRAJ39
TRAJ40
TRAJ41
TRAJ42
TRAJ46
TRAJ47
TRAJ49
TRAJ5
TRAJ50
TRAJ52
TRAJ53
TRAJ54
TRAJ57
TRAJ59
TRAJ6
TRAJ9
TRBC2
TRBJ2-2
TRBJ2-2P
TRBJ2-3
TRBJ2-6
TRGJ2
TRGJP
TRGJP1
TRGJP2
TRIM24
TRIM26
TRIM27
TRIM28
TRIM33
TRIM37
TRIP11
TRIP13
TRRAP
TSC1
TSC2
TSHR
TSHZ2
TSHZ3
TSLP
TTL
TTYH1
TUSC3
TYK2
TYMS
TYRO3
U2AF1
U2AF2
UBA2
UBE2T
UBR5
UGT1A1
UGT1A6
UGT1A9
UIMC1
UMODL1
UMPS
UPF1
UROD
USH2A
USP28
USP6
USP7
USP8
USP9X
UTRN
VAV1
VAV2
VEGFA
VEGFB
VHL
VTCN1
VTI1A
WAS
WDR90
WEE1
WIF1
WNK1
WNK2
WRN
WT1
WWTR1
XBP1
XIAP
XPA
XPC
XPO1
XRCC1
XRCC2
XRCC3
XRCC4
XRCC5
XRCC6
YAP1
YEATS4
YES1
YLPM1
YWHAE
YY1AP1
ZBTB16
ZBTB2
ZBTB20
ZBTB7A
ZEB2
ZFHX3
ZFHX4
ZFP36L1
ZFPM1
ZMYM2
ZMYM3
ZNF217
ZNF292
ZNF318
ZNF331
ZNF384
ZNF471
ZNF521
ZNF620
ZNF703
ZNF708
ZNF750
ZNRF3
ZRSR2
ZSWIM4
